,text,name
Q232307,"Mae Margaret Whitman (born June 9, 1988) is an American actress and voice artist. She is known for her roles as blind girl Amy trapped with an escaped convict in Lost in the Dark, Ann Veal in the TV s",Mae Whitman
Q232449,"Kwon Boa (, , , born November 5, 1986), commonly stylized and known by her stage name BoA, which is a backronym for  Beat of Angel, is a South Korean singer and actress active in South Korea, Japan, a",BoA
Q232499,", born  January 6, 1981 in Hadano, Kanagawa) is a Japanese film actress. She is the first Japanese actress to be nominated for an Academy Award in 50 years, for her work in Babel (2006). She also star",Rinko Kikuchi
Q233349," is a Japanese pop singer formerly associated with Hello! Project, and an actress. She was a fifth generation member of the Japanese pop group Morning Musume. She joined Morning Musume in 2001 along w",Risa Niigaki
Q233354,", who used the name  early in her career, is a Japanese adult video (AV) actress known in Japan as an AV idol.   Biography    1986-2002: Early life  Ozawa was born in Hokkaidō, Japan. Her father is Ja",Maria Ozawa
Q233371,"Kim Tae-yeon (born March 9, 1989) is a South Korean singer and actress. She is a member of the South Korean girl group Girls' Generation, its subgroup TTS, as well as the ballad group S.M. The Ballad.",Kim Tae-yeon
Q2333745,"Sarah Asher Tua Geronimo (born July 25, 1988; \ˈser-ə, ˈsā-rə\,\jə-ˈrä-nə-ˌmō\) is a Filipino singer and actress. She received attention after winning the Star for a Night singing competition on telev",Sarah Geronimo
Q233375," is a former member of the Japanese pop group Morning Musume. She joined in late 2003 as a sixth generation member along with Miki Fujimoto, Sayumi Michishige, and Reina Tanaka. She graduated on Decem",Eri Kamei
Q233385,"Choi Soo-young (born February 10, 1990) is a South Korean singer-songwriter and actress. She was a member of the Korean-Japanese duo group Route θ and is now a member of the South Korean girl group, G",Choi Soo-young
Q233412,"Anna María Francesca Enriquez Perez de Taglé""Disney Fil-Am star headed for big time"", by Ricardo F. Lo, July 01, 2008, The Philippine Star. (born December 23, 1990) is an American actress and singer. ",Anna Maria Perez de Taglé
Q23359,"Taylor Daniel Lautner (; born February 11, 1992) is an American actor, model, and martial artist. Lautner is best known for playing Jacob Black in The Twilight Saga film series based on the novels of ",Taylor Lautner
Q2339676," (born September 19, 1992) is a Japanese actress. She starred in Hanochi and is best known for her role as the young Nico Robin in the anime One Piece. Nagai is represented by Topcoat .   External lin",Anzu Nagai
Q234060,"Nathalia Norah Ramos Cohen (born 3 July 1992) is a Spanish actress.    Biography  Ramos was born in Spain on July 3, 1992 to a Spanish pop star father (Juan Carlos Ramos Vaquero, usually known by his ",Nathalia Ramos
Q234063," is a former sixth generation member and former leader of the J-pop group Morning Musume. With 5th generation member Risa Niigaki´s graduation on October 12, 2013, Michishige currently has the longest",Sayumi Michishige
Q234066,"Kim Hyuna (; Hanja: 金泫我/金泫雅; born June 6, 1992), often performing under the mononym Hyuna, stylized as HyunA, is a South Korean recording artist, dancer, songwriter and model. She is known for being t",Hyuna
Q234094," is a Japanese actress, singer, and model. She is best known in the West for her roles as Takako Chigusa in Kinji Fukasaku's 2000 film Battle Royale and Gogo Yubari in Quentin Tarantino's 2003 film Ki",Chiaki Kuriyama
Q234099," is a Japanese singer, lyricist, and former actress. Born and raised in Edogawa, Tokyo, Goto began her musical career in 1999 when she joined Morning Musume as the only third generation member. Her fi",Maki Goto
Q234595," is a Japanese actress, singer, model, tarento, and occasional radio personality. Born in Nerima, Tokyo, Ueto was discovered when she participated in the 7th Japan Bishōjo Contest, where she won the s",Aya Ueto
Q234598,", who also goes by the mononym Utada , is a Japanese American singer and songwriter.  Since the release of her Japanese debut album First Love, which went on to become the best-selling album in Oricon",Hikaru Utada
Q234685,"Michelle Jacquet DeSevren Branch (born July 2, 1983) is an American singer-songwriter and guitarist. During the early 2000s, she released two top-selling albums, The Spirit Room and Hotel Paper.  She ",Michelle Branch
Q235171," is a Japanese actress, also active as a model and singer. She appeared in the non-fiction Japanese television drama 1 Litre of Tears, playing the role of a girl who suffered from the intractable dise",Erika Sawajiri
Q235310,"Alexis Jordan (born April 7, 1992) is an American singer and actress from Columbia, South Carolina. Jordan rose to fame as a contestant on the first season of America's Got Talent in 2006. After being",Alexis Jordan
Q235388,"Christy Carlson Romano (born Christy Michelle Romano, March 20, 1984) is an American actress and singer. She is known for her role in the sitcom Even Stevens and as the voice of the title character in",Christy Carlson Romano
Q2354132," is a Japanese actress and model.  Kamiya is best known for her role as Satomi Noda in Battle Royale. She also played Sena in Man, Next Natural Girl: 100 Nights In Yokohama.  References  External link",Sayaka Kamiya
Q2354805," is a retired Japanese actor, singer, and model. He is best known for his role as Eiji Kikumaru of the fourth generation Seigaku cast in the The Prince of Tennis musical series Tenimyu. In 2010, he po",Kyousuke Hamao
Q235613,"Go Younha (Korean Hangul: ; hanja: ; Go Youn-ha, Japanese Katakana: ユンナ, Yunna, born April 29, 1988 in Seoul, South Korea), is a South Korean Rock music songwriter who first got her start in Japan, an",Younha
Q236340,", is a J-pop singer, actor, television personality, essayist, and model. From 2005 to 2009, she was a member of the Hello! Project group Morning Musume from 2005 to 2009, the only seventh generation m",Koharu Kusumi
Q236343,"Genevieve Knight Hannelius (born December 22, 1998), known professionally as G. Hannelius (or G Hannelius), is an American teen actress and singer-songwriter. She currently stars as Avery Jennings in ",G. Hannelius
Q2365218,", also known as  is a Japanese actress.  Iwamura is best known for her role as Mai in Battle Royale. Iwamura also fulfills some ""stand-in"" roles as Izumi Kanai, Noriko Nakagawa, Hirono Shimizu, and Ha",Ai Iwamura
Q236715," is a Japanese voice actress affiliated with Axl One management. She was born in Kokubunji, Tokyo. 小清水亜美 profile She was previously represented by Production Baobab. http://pro-baobab.jp/ladies/koshim",Ami Koshimizu
Q236735,"Laura Beatrice Marling (born 1 February 1990) is a folk musician from Eversley, Hampshire, England. Her debut album Alas, I Cannot Swim, her second album I Speak Because I Can, and her fourth album On",Laura Marling
Q236799,", born October 28, 1982 as , is a Japanese pop and R&B singer-songwriter and producer from Funabashi, Chiba. Kuraki debuted in 1999 with the single, ""Love, Day After Tomorrow"". In 2000, she released h",Mai Kuraki
Q236954," is a Japanese singer, actress, and semi-retired model. Since 2005, she is primarily known as a singer.Oricon profile Retrieved March 25, 2012 She has written and recorded some of her music in English",Anna Tsuchiya
Q2372674,"Justine Ezarik (; born March 20, 1984) is an American comedian, Internet celebrity, actress and occasional television host. She is best known as iJustine, a lifecaster who communicated directly with h",IJustine
Q237345,"Crystal Kay  (born Crystal Kay Williams on February 26, 1986 in Yokohama, Kanagawa Prefecture, Japan), is a Japanese recording artist and radio host and actress. She debuted at the age of 13.  After r",Crystal Kay
Q237348," is a member of Hello! Project and a former member of the J-pop group Morning Musume, joining as a member of the eighth generation from the audition in Japan during December 2006. Mitsui's audition pr",Aika Mitsui
Q237361," is a voice actress. She is employed by I'm Enterprise. Some of her hobbies include cooking and watching movies, and she is skilled at kendo. She worked with voice actress Ai Shimizu in several anime ",Mai Nakahara
Q237387,"Dulce María Espinosa Saviñón (; born December 6, 1985) is a Mexican actress and singer-songwriter. She's been part of several music projects, most notably pop group RBD from 2004 to 2009, which origin",Dulce María
Q237389," (born September 20, 1983) is an American pop recording artist and actress who is active in Japan.   She was born in Los Angeles and was raised in Hawaii. Ito made her musical debut in Japan with the ",Yuna Ito
Q237405," from Nagoya, Aichi Prefecture, Japan, is a Japanese voice actress and J-pop singer who has had roles in several anime, visual novels, and TV commercials in Japan. She was contracted to Space Craft Pr",Aya Hirano
Q237673,"Ku Hye-sun (; born November 9, 1984) is a South Korean actress, singer/songwriter and director. She is best known for her roles in the television dramas Pure in Heart (2006), Boys Over Flowers (2009) ",Ku Hye-sun
Q238907," is a Japanese actress and former model. She was an exclusive model for the Japanese Seventeen magazine from late 2003 to mid-2006, and left modeling when she left the magazine. Her first acting role ",Keiko Kitagawa
Q23891,"Andrew Russell Garfield (born 20 August 1983) is an actor with dual citizenship of the United States and the United Kingdom.  Born in Los Angeles and raised in Surrey, Garfield began his career on the",Andrew Garfield
Q239348,", known mononymously as Ayaka, is a Japanese female singer formerly signed to Warner Music Japan. Born in Osaka, she moved to Tokyo to pursue a singing career. She married actor Hiro Mizushima on Febr",Ayaka
Q240082,"Seo Joo-hyun (born June 28, 1991), better known by the stage name Seohyun, is a South Korean singer-songwriter and actress. She is the youngest member of both the South Korean girl group, Girls' Gener",Seohyun
Q2406337," is a Japanese singer and leader of the J-pop group Hinoi Team.   Biography  Asuka's musical career began in 2002, when she was chosen with two other girls, Hikaru Koyama and Miho Hiroshige, to form t",Asuka Hinoi
Q240705,"Carly Rae Patterson-Caldwell (born February 4, 1988) is an American singer and former gymnast. She is the 2004 Olympic All-Around Champion and a member of the USA Gymnastics Hall of Fame. She currentl",Carly Patterson
Q2409556,Tiffany Ann Hsu () was born on 7 August 1984 in the United States. She is an Italian-Taiwanese model and actress. Apple Daily 混血單親妞 從小飽受歧視 16 March 2010. Retrieved 2011-06-05 She is under the manageme,Tiffany Hsu
Q2412115,"Gerald Randolph Anderson, Jr. (born March 7, 1989) is a Filipino-American film & television actor, commercial model and tv producer. He is best known for his leading roles in TV series such as Sana Ma",Gerald Anderson
Q2414886,Margarita Elizabeth Rose Alleyne Armstrong-Jones (born 14 May 2002) is the only daughter of Viscount and Viscountess Linley. She is the only granddaughter of Princess Margaret and the Earl of Snowdon.,Margarita Armstrong-Jones
Q242014,"     is a Japanese voice actress and singer from Tokushima Prefecture, Japan. She had her first major voice acting roles in 2007, voicing Amuro Ninagawa in Kenkō Zenrakei Suieibu Umishō and Su in Shug",Aki Toyosaki
Q242113," is a Japanese singer and cellist. Originally produced by musician and fashion designer Mana, Wakeshima debuted under the DefStar Records label on May 28, 2008 with the single ""Still Doll"", the ending",Kanon Wakeshima
Q242132," is a Japanese pop singer, model, radio host, and actress. She was born on February 24, 1987 in Tokyo. She married producer Masato Ochi on August 8, 2008.   Career  Kawabe released the single ""Be Your",Chieko Ochi
Q2426149," is a Japanese singer and actress from Hyōgo, Japan.  Her most famous TV role to date was on Pretty Guardian Sailor Moon as Hina Kusaka. She entered the spotlight at age 15 when she won the multimedia",Moeko Matsushita
Q2426408,", also known as Rio, is a Japanese actress, singer and AV idol who debuted as an AV actress in 2005, appearing in videos produced by the Max-A and S1 studios. After starring in AVs in various genres d",Tina Yuzuki
Q242673,"Park Min-young (; born March 4, 1986) is a South Korean actress. She is best known for her leading roles in the television dramas Sungkyunkwan Scandal (2010) and City Hunter (2011).  Career Park Min-y",Park Min-young
Q243639,"Jason Joel Desrouleaux (born September 21, 1989), better known by his stage name Jason Derulo (a phonetic spelling of his last name), is an American singer-songwriter and dancer.  Since the start of h",Jason Derulo
Q2444143," (born May 11, 1985), known by her stage name Sifow (stylized as sifow), is a Japanese pop singer, model and businesswoman. She signed to the Avex Trax music label in 2006, but in 2008 she announced h",Sifow
Q2451555,"Javaris Cortez Crittenton (born December 31, 1987) is an American former professional basketball player who last played for the Dakota Wizards of the NBA D-League. He was previously the starting point",Javaris Crittenton
Q2462075," is a Japanese singer-songwriter and composer, who is known for writing music for games and anime. She is best known for her contributions to the Ar tonelico, Shadow Hearts and Umineko no Naku Koro ni",Akiko Shikata
Q249719,"Yui (born March 26, 1987), stylized as YUI, is a Japanese singer-songwriter, multi-instrumentalist, and actress. Born and raised in Fukuoka prefecture, she played live at various locations in her home",Yui (singer)
Q2500252," is a Japanese actress.  Profile Hiiragi began her career as a child actress while at the age of six, appearing in numerous commercials. In 1999, she appeared in the NHK asadora Suzuran, portraying th",Rumi Hiiragi
Q253619,"Kim Hyo-yeon (born September 22, 1989), is a South Korean singer and actress. She is a member of the South Korean girl group, Girls' Generation, formed by S.M. Entertainment in 2007.  Early life Hyoye",Kim Hyo-yeon
Q253626,"Jun Ji-hyun (born Wang Ji-hyun, 30 October 1981), also known as Gianna Jun, is a South Korean actress. She is best known for her role as ""The Girl"" in the romantic comedy My Sassy Girl (2001), one of ",Jun Ji-hyun
Q253690,", is a Japanese actress and singer.  She is managed by Stardust Promotion.  Her stage name is taken from the main character of Junko Kawakami's manga Golden Delicious Apple Sherbet.   Biography Music ",Kō Shibasaki
Q253697," is a Japanese pop singer. She has various commercial tie-ins with the anime and games industry, and has also performed in stage musicals and a movie.   Career    Beginnings  In 1999, Tamaki attended ",Nami Tamaki
Q253702,"Rainie Yang (; born 4 June 1984) is a Taiwanese singer, Golden Bell Awards actress and TV host.  Career thumb|left|200px|Rainie Yang in 2012 Yang began her career in 2000, as a member of Taiwanese qua",Rainie Yang
Q253715," is a Japanese gravure idol and model who typically aimed for the cute, innocent schoolgirl look prior to her 2011 marriage.   Ogura regularly, if not entirely seriously, claims to be one  of the appl",Yuko Ogura
Q253724,"Ariel Lin (, Hakka: Lim Yi Sen) was born 29 October 1982. She is a Taiwanese actress and singer, who won Best Leading Actress in a Television Series at the 43rd and 47th Golden Bell Awards. She majore",Ariel Lin
Q2537530," is a Japanese model and actor. His first major acting role was as Mamoru Chiba (Tuxedo Kamen/Prince Endymion) in the live action Pretty Guardian Sailor Moon. After finishing PGSM, Shibue has appeared",Jouji Shibue
Q253873," is a Japanese actress. She is best known for roles such as in Nana and Virgin Snow. Her brother Masaru Miyazaki is also an actor, and they starred together in the film Hatsukoi. She married Sosuke Ta",Aoi Miyazaki
Q253882," is a Japanese actress and singer. In Japan, her name is sometimes contracted to the nickname Fukakyon. She won the award for Best Actress at the Yokohama Film Festival for Kamikaze Girls.   Biography",Kyoko Fukada
Q253900," is a Japanese actress.   Career  Nagasawa was chosen to star in a movie called Gunjo, based on a novel by Ayako Miyagi and directed by Yosuke Nakagawa. It is the second Japanese movie produced by 20t",Masami Nagasawa
Q2539431," is a Japanese pop singer and gravure idol. She made her debut in 2005 Miss Young Jump, winning Tsunku's honorable award.  She started acting as a child actor using her former stage names, Sachie Koma",Ami Tokito
Q254018,"Jessica Dawn Lynch (born April 26, 1983) is a former United States Army soldier who served in the 2003 invasion of Iraq by U.S. and allied forces.  On March 23, 2003, Private First Class Lynch was ser",Jessica Lynch
Q254838,"Samantha Tamania Anne Cecilia Mumba (born 18 January 1983) is an Irish singer and actress. She shot to fame in 2000 with the release of her debut single ""Gotta Tell You"", which reached the Top 10 in I",Samantha Mumba
Q2555412,"Darren McFadden (born August 27, 1987) is an American football running back for the Oakland Raiders of the National Football League (NFL). He played college football for the University of Arkansas, an",Darren McFadden
Q2567854,"Krista Valle Sullivan, better known by her stage name Bela Padilla (born 3 May 1991), is a Filipina actress and model.  Biography Krista Valle Sullivan was born to a Filipina mother and a British fath",Bela Padilla
Q2568122,"Angela Yeung (born 28 February 1989 in Shanghai), better known by her stage name Angelababy, is a Chinese model, actress, and singer based in Hong Kong. Her stage name came from the combination of her",Angelababy
Q256924," is a J-Pop singer and lyricist signed with SME Records' Newcome Inc. She debuted on February 20, 2008, with the single ""I"". CNN said that she was the favorite singer of teenage girls in Shibuya, Toky",Kana Nishino
Q256927," is a Japanese singer-songwriter. Her style ranges from pop, rock to rhythm and blues. She resides in Osaka, and is signed with Tokyo-based AVEX recording label. She speaks moderate Chinese, and becau",Aya Kamiki
Q256932,"Son Ye-jin (born Son Eon-jin on January 11, 1982) is a South Korean actress. She rose to fame in romance-themed films and television series such as The Classic (2003), Summer Scent (2003), A Moment to",Son Ye-jin
Q2576401,"Olivia Hack (born June 16, 1983""Celebrity birthdays on June 16."" Miami Herald 16 June 2009: A8. Web. 29 April 2012.) is an American actress and voice actress, best known for providing the voice of Rho",Olivia Hack
Q258183,", who performs under the mononym Misono (stylized as misono), is a Japanese singer-songwriter from Kyoto. She is also the younger sister of Japanese singer Kumi Koda. Misono was the lead singer of pop",Misono
Q259396,", better known by her stage name , is a Japanese J-Pop artist managed by the Horipro talent agency and under the Victor Entertainment label. She was formerly under the Universal Music label.   Career ",May'n
Q259409,"Go Ara (; born February 11, 1990), often performing under the mononym Ara, is a South Korean actress. She made her acting debut in the 2003 Korean television drama Sharp #1.   Early life Go Ara was bo",Go Ara
Q259416,"Ayaka Komatsu (小松 彩夏, Komatsu Ayaka) is a Japanese model/actress. She was born on July 23, 1986 in Ichinoseki, Iwate Prefecture.  Modeling career  Her modeling agency is Amuse inc. She was a regular m",Ayaka Komatsu
Q259428," is a Japanese actress.  Besides acting, she is also attending school and has a variety of hobbies including classical ballet, Japanese tea ceremony, ikebana, rollerblading, snowboarding, playing the ",Suzuka Ohgo
Q2595923,"Jose Lorenzo ""Pepe"" Diokno (born August 13, 1987)Diokno at IMDB is a Filipino motion picture director, producer and screenwriter.  His debut film, Engkwentro premiered at the 2009 Venice Film Festival",Pepe Diokno
Q2602933, is a popular idol singer. She has released 12 singles and 2 albums on the Avex Trax label in Japan. She has also performed with the musical units  and a☆girls.  About Aiko Kayō was born on December 1,Aiko Kayō
Q2620638,"Cheryl Stephanie Burke (born May 3, 1984) is a professional dancer. She is best known for being one of the professional dancers on ABC's Dancing with the Stars, where she was the first female professi",Cheryl Burke
Q2624737," aka  and  is a Japanese actress, HIV/AIDS activist, and a former AV idol. She is active in many media formats in Japan including mainstream theatrical film, and is a popular blogger. Her adeptness at",Hotaru Akane
Q262520,"Han Hye-jin (; born October 27, 1981) is a South Korean actress. Han made her breakthrough in 2005 when she starred as a young widow in her 20s working as an outgoing hairdresser in the hit daily dram",Han Hye-jin
Q2626040,"Camila Sodi (; born Camila Ía González Sodi on May 14, 1986 in Mexico City, Mexico) is a Mexican singer, actress and model. She is the niece of actress and singer Thalía and part of the Sodi family.  ",Camila Sodi
Q262878," is a Japanese actress and model. She made her film debut as Shiori Tsuda in Shunji Iwai's 2001 film All About Lily Chou-Chou. She subsequently portrayed Tetsuko Arisugawa in Hana and Alice (2004), al",Yū Aoi
Q2631267,Mónica Spear Mootz (1 October 1984 – 6 January 2014) was a Venezuelan beauty pageant titleholder and telenovela actress who won Miss Venezuela 2004. She also represented Venezuela at Miss Universe 200,Mónica Spear
Q2633486,"Larissa Ramos Costa (born February 4, 1989, in Manaus, Amazonas, Brazil) is a Brazilian beauty pageant titleholder who won Miss Terra Brasil 2009 and Miss Earth 2009, becoming the second Brazilian to ",Larissa Ramos
Q2642270," is a Japanese singer-songwriter.  As of August 2013, she has released nine singles and three albums. Her second major album,  was released on September 25, 2013.  Personal life Saori Atsumi is was bo",Saori Atsumi
Q2642457,"Shamcey Gurrea Supsup-Lee (born May 16, 1986) is a Filipino beauty queen who was crowned Miss Universe-Philippines 2011 and represented her country at the Miss Universe 2011 pageant.(September 13, 201",Shamcey Supsup
Q265160,"Lee Hyo-jung (Hangul: 이효정, Hanja: 李孝貞) (born January 13, 1981 in Seoul) is a female badminton player from South Korea.  She won the gold medal in badminton mixed doubles at the 2008 Beijing Summer Oly",Lee Hyo-jung
Q265449," (born February 27, 1985 in Muroran, Hokkaidō, Japan) is a former Japanese singer and actress, also known as the younger sister of pop idol Natsumi Abe. She started her career doing commercials for Ni",Asami Abe
Q266356,"Son Dam Bi (born September 25, 1983 in Seoul, South Korea) is a South Korean singer and actress.  Biography Son Dam Bi is one of the most hyped names to debut in Korea. She had appeared in music video",Son Dam-bi
Q266376," is a Japanese film actress and singer, born on 30 November 1985, in Okinawa, Japan. She began her music career in 1997 as a teenage idol singer in the J-pop groups Folder and Folder 5. Although she m",Hikari Mitsushima
Q2663922," is a Japanese actress, model and singer.  Biography Adachi appeared in Kiyoshi Kurosawa's 2005 horror film Loft.  Filmography Film  Rex: Kyōryū Monogatari (1993)  Hero Interview (1994)  Homeless Chil",Yumi Adachi
Q266578,"Shiri Maimon (; born 17 May 1981) is an Israeli pop/R&B singer, TV show host and actress, who rose to fame as the runner-up in the TV show Kokhav Nolad. She represented Israel in the Eurovision Song C",Shiri Maimon
Q266852," is a Japanese pop singer-songwriter and pianist. Overcoming her tragic childhood, she released her debut single Asueno tobira (Door to Tomorrow) as the duo I Wish in 2003. She is well known for her n",Ai Kawashima
Q2673038," is a Japanese actress.  Career Takanashi starred in the 2007 film adaptation of the Japanese novel Goth as one of the lead characters, Yoru Morino. She starred in the 2009 Super Sentai series Samurai",Rin Takanashi
Q2673689," is a Japanese actress and glamour model managed by Stardust Promotion. Born in Mie, Aichi Prefecture, she landed her first leading role in the 2004 television series Tokusou Sentai Dekaranger.  Filmo",Ayumi Kinoshita
Q26780," is a Japanese actor, tarento and singer as well as member of Hey! Say! JUMP. He is under the management of Johnny & Associates.   Career On June 2, 2003, he joined Johnny & Associates as a trainee. A",Daiki Arioka
Q268056," is a Japanese model, actress, and gravure idol.   Modeling career  Sawai was once a regular model for Love Berry magazine and has modeled for many other popular Japanese magazines such as Mewmew and ",Miyuu Sawai
Q26876,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. Raised in Wyomissing, Pennsylvania, Swift moved to Nashville, Tennessee at the age of 14 to pursue a career in country mu",Taylor Swift
Q2698876,"Ahmad Bradshaw (born March 19, 1986) is an American football running back for the Indianapolis Colts of the National Football League (NFL). He was drafted in the seventh round of the 2007 NFL Draft by",Ahmad Bradshaw
Q2698920,"Matthew Clayton ""Matt"" Flynn (born June 20, 1985) is an American football quarterback for the Green Bay Packers of the National Football League. He was drafted by the Packers in the seventh round (209",Matt Flynn
Q2701270," (born September 2, 1988), is a Japanese actor and entertainer. He is best known for his roles as Ivory in TV Tokyo's ""Happy Boys"" drama and Keisuke Nago/Kamen Rider IXA in TV Asahi's tokusatsu series",Keisuke Kato
Q2701277," is a Japanese actor who debuted in 2002. His first movie was Moonlight Jellyfish, in which he co-starred with Tatsuya Fujiwara. He played the role of Michio, a mentally challenged 15-year-old boy dia",Ryo Kimura
Q2705964," is a former Japanese AV idol, model and actress who has also used the name  and most recently .  Life and career Saori Hara was born in Hiroshima Prefecture to a Japanese mother and a father of mixed",Saori Hara
Q270652," is a Japanese singer and actress. Five of her studio albums, one of her mini-albums, and one of her compilation albums have reached number one in Japan's Oricon album chart. She also embarked on an a",Mika Nakashima
Q270786,"Peaches Honeyblossom Geldof-Cohen (13 March 1989 – 6 or 7 April 2014) was an English journalist, television presenter and model. She was the second daughter of musician and Live Aid founder Bob Geldof",Peaches Geldof
Q2709,"Sasha Grey (born Marina Ann Hantzis; March 14, 1988) is an American former pornographic actress who has since become a mainstream actress, model, author and musician. She first made her name in mainst",Sasha Grey
Q270905,", better known by her stage name , is a Japanese actress, model and singer born in Nago, Okinawa, Japan. She is represented by the agency Sweet Power and is signed to Sony Music Japan. She made her ac",Meisa Kuroki
Q2714347,"José Eleazar Gómez Sanchez (; better known as Eleazar Gómez born May 29, 1986 in Mexico City, Mexico)http://www.imdb.com/name/nm0351055/ IMDB Page is a Mexican actor. He is noted for his performance i",Eleazar Gómez
Q271469,"Daryl Christopher Sabara (born June 14, 1992) is an American actor. He is perhaps best known for playing Juni Cortez in the Spy Kids film series, as well as for a variety of television and film appear",Daryl Sabara
Q271869, is a Filipino-Japanese voice actress and singer represented by the Stardust Promotion talent agency. She was born to a Japanese father and a Filipino mother.中島 愛 オフィシャル・ウェブサイト -Megumi Nakajima Offici,Megumi Nakajima
Q271886," is a Japanese actress. She was given a Best New Talent award at the 2009 Yokohama Film Festival. Naka became famous by appearing in Hachi One Diver (2008) and played the lead, Hana Adachi inYankee-ku",Riisa Naka
Q271893,"Kina Kasuya Grannis (born August 4, 1985) is an American guitarist and singer-songwriter. She is half Japanese and half European American. Grannis was the winner of the Doritos Crash the Super Bowl co",Kina Grannis
Q271895," (born June 22, 1988), better known by her stage name of  is a Japanese pop and urban singer-songwriter from Toyota, Aichi, Japan. In 2001, when she was 13 years old, she passed a Sony audition. She b",Miliyah Kato
Q272309," is a Japanese model, actress, and singer. She formerly used the stage name  when she was with Snow Rabbits Productions. After Izumi returned to the modeling world in 2008, she used both 泉里果 and 泉里香 a",Rika Izumi
Q2726050," is a Japanese actor from Seto, Aichi. He portrayed Retsu Fukami/Geki Blue in the Super Sentai Series Juken Sentai Gekiranger. He is the twin brother of actor Shinpei Takagi.  Filmography   TV drama  ",Manpei Takagi
Q272915,"Ciara Quinn Bravo (pronounced ; born March 18, 1997) is an American actress. She is best known for her role as Katie Knight on Big Time Rush and her role as Emma Chota  on Red Band Society.  Bravo's w",Ciara Bravo
Q273044,"Lauren Keyana ""Keke"" Palmer (born August 26, 1993) is an American actress, television presenter, singer, and songwriter. Palmer was born in Harvey, Illinois and raised in Robbins, Illinois. After Palm",Keke Palmer
Q2735504,"Alexander Vincent LoScialpo (born April 29, 1981), best known as Alex Vincent, is an American former child actor, best known for his childhood role as Andy Barclay in the American films Child's Play (",Alex Vincent (actor)
Q2737541," is a Japanese manga artist.  The manga artist was once active under her previous pen name,  at the end of the 90's but has abandoned the name after she won the Best Rookie award in the LMS for Kaeri ",Hiro Fujiwara
Q2741075,"Daniela Luján (; born Daniela Barrios Rodriguez April 5, 1988) is a Mexican pop singer and actress.  Biography  Born on April 5, 1988 to Miguel Barrios Luján and Amalia Rodríguez Gómez, she is the you",Daniela Luján
Q2750633," is a Japanese AV Idol who worked for both ""pro"" studios such as Alice Japan and h.m.p., and also for independent companies like Moodyz and Wanz Factory.   Life and career  Ami Ayukawa was born in Tok",Ami Ayukawa
Q2750640," is a Japanese singer, guitarist and a former member of all-girl pop band Zone, which disbanded in 2005.   Biography  As a young child, Nagase loved to sing. By third grade, she decided to take her si",Miyu Nagase
Q2757592,Arturo Muñoz Gutiérrez (born 31 December 1984) is a Mexican footballer. He currently plays as a left back for Atlante of the Primera División de Mexico.  Honors  Club Atlante   Apertura 2007  External,Arturo Muñoz
Q2761167, is a Japanese model and actress.  Biography Omasa co-starred with Shōta Sometani in Natsuki Seta's 2010 film A Liar and a Broken Girl. She appeared in the 2011 film Paradise Kiss.  Filmography  Film ,Aya Ōmasa
Q2761195," (born March 25, 1982) is a Japanese actor and singer from Tokyo. He played Takashi Kawamura in The Prince of Tennis musical series, Tenimyu, and the live film adaptation.  Biography Kotani has appear",Yoshikazu Kotani
Q276158,"Kwon Yuri (born December 5, 1989) is a South Korean singer and actress. She is a member of the South Korean girl group, Girls' Generation.  Biography Yuri was born in Goyang, Gyeonggi, South Korea on ",Kwon Yuri
Q2812455,"Lee David (born March 3, 1994) is a South Korean actor. He is best known for his supporting roles in Poetry and The Front Line, and his starring roles in Romance Joe and Pluto.   Filmography Film {| c",Lee David
Q2819227,Si  Akina  ay isang mang-aawit mula sa bansang Hapon.  Kaurian:Mga mang-aawit mula sa Hapon,Akina
Q281931,"Kim Nam-gil (; born March 13, 1981) is a South Korean actor. He is best known for playing Bidam in the hit period drama Queen Seondeok (2009).   Career  Kim Nam-gil began his acting career on televisi",Kim Nam-gil
Q2827920,"Si Oota Aika (多田愛佳 Oota Aika, ay ipinanganak noong Disyembre 08, 1994 sa Saitama, Japan) ay miyembro ng AKB48. Siya ay orihinal na miyembro ng Team B, pero ngayon siya ay kabilang na sa Team A. Miyemb",Oota Aika
Q2828940,"{{nihongo|Akane Omae|大前 茜|Ōmae Akane|born 21 August 1982 in Saitama Prefecture, Japan}} is a former Japanese voice actress. She retired in 2010.  Roles  AnimeAzumanga Daioh (Chihiro)Chibi Maruko (Yoko",Akane Omae
Q2842216,"Jay Ann ""Jayann"" Bautista (born on June 22, 1986 in Pampanga, Philippines) is a Filipino singer who rose to notability after becoming a Runner-Up of Pinoy Idol, an interactive reality-based singing co",Jayann Bautista
Q2850407,"  also known as Ann Nanba is a Japanese adult video (AV) actress who has had a long and prolific career during which she has won multiple awards. At the beginning of 2009, the DMM and Amazon sites bot",An Nanba
Q2857970," is a Japanese singer and voice actor.  Career While Aoi Teshima went to C&S music academy in Fukuoka, she began a music career as an amateur in 2003. In 2003 and 2004, she participated in a musical e",Aoi Teshima
Q2866307," (born July 17, 1984 in Tomakomai, Hokkaidō, Japan) is a J-pop singer and former member of Hello! Project. She joined the group Country Musume in 2000 and became the group leader in 2002. She also pla",Asami Kimura
