,text,name
Q238500,"Cytherea (born September 27, 1981) is an award winning American pornographic actress and model. She is known for her ability to ejaculate (known as ""squirting"" in the adult industry) while performing ",Cytherea (pornographic actress)
Q238505,فینکس میری (لاطینی: Phoenix Marie) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1981ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید ح,فینکس میری
Q238585,"Taylor Rain (born August 16, 1981) is a former American pornographic actress.   Career  Rain first entered the pornographic video industry in November 2001. In 2003, she signed an exclusive two-year p",Taylor Rain
Q238603,"Daisy Marie (born February 6, 1984 in Glendale, California) is a Mexican-American pornographic actress and nude model.   Biography  Marie  was born in Glendale, California but grew up mainly in Salem,",Daisy Marie
Q238628,"Sierra McCormick (born October 28, 1997) is an American actress, best known for her role as Olive Doyle in the Disney Channel Original Series, A.N.T. Farm, and her participation on the U.S. game show ",Sierra McCormick
Q240187,"Bridget Regan (born February 3, 1982) is an American actress and producer, best known for her portrayal of Kahlan Amnell in the television series Legend of the Seeker, and Rebecca Lowe/Rachel Turner i",Bridget Regan
Q240450,"Kirsten Price (born November 13, 1981) is a model and pornographic actress.  Early life Price was raised in Massachusetts. She has also lived in New York City, where she worked as a go-go dancer and c",Kirsten Price (pornographic actress)
Q241591,"Morgan Elizabeth York (born January 18, 1993) is an American former actress, best known for her role as Kim Baker in Cheaper by the Dozen and Cheaper by the Dozen 2, and also her role as Sarah in Hann",Morgan York
Q242222,"Melissa Lauren (born October 16, 1984, in La Rochelle, Charente-Maritime, France) is a French pornographic actress  and director.  Lauren started off studying as a cook for three years and worked in P",Melissa Lauren
Q242232,"Sunrise Adams (born on September 14, 1982) is a former American pornographic actress, she won multiple awards for her work in the industry after beginning her career in 2001. She was contracted by Viv",Sunrise Adams
Q242234,"Jenna Presley (born April 1, 1987) is the stage name of Brittni Ruiz, an American former pornographic actress.  Early life After being raped at the age of fourteen, Presley began stripping topless in ",Jenna Presley
Q242236,"Gracie Glam  (born September 30, 1990) is the stage name of an American pornographic actress.  Early life and career Gracie Glam was born in Raleigh, North Carolina. While taking college classes in Fl",Gracie Glam
Q242238,"Bobbi Starr (born April 6, 1983), is the stage name of an American pornographic actress. In 2011 and in 2013, Starr was named by CNBC as one of the 12 most popular stars in porn.Morris, Chris, ""The Di",Bobbi Starr
Q242240,"Nikky Blond (born March 9, 1981) is a Hungarian pornographic film actress. She started working in the porn industry in around 1999 and has appeared in over 100 movies.  Awards 2004 Venus Award winner ",Nikky Blond
Q242243,"Lexxi Tyler (born May 16, 1983 in Beaverton, Oregon) is an American pornographic actress and model. She was the May 2009 Penthouse Pet of the Month.  Personal life Tyler is married to mixed martial ar",Lexxi Tyler
Q242246,"Hanna Hilton (born October 31, 1984) is an American former (2007–10) pornographic actress.  Personal life and career Hilton was a cheerleader in high school and worked part-time at a Dairy Queen in Co",Hanna Hilton
Q242259,"Lacie Heart (born August 22, 1986) is an American pornographic actress.  Biography Heart grew up on a ranch in Templeton, California, and studied ballet as a child. She danced at a Canoga Park strip c",Lacie Heart
Q2426408,", also known as Rio, is a Japanese actress, singer and AV idol who debuted as an AV actress in 2005, appearing in videos produced by the Max-A and S1 studios. After starring in AVs in various genres d",Tina Yuzuki
Q2427458,"Renae Cruz (born November 29, 1987) is the stage name of an American pornographic actress.   Early life and career Cruz grew up as a military brat and lived in Brazil for a year before she entered the",Renae Cruz
Q242883,"Erica Rose Campbell (born May 12, 1981, in Deerfield, New Hampshire) is a former American glamour model and actress.  Career Campbell was the Playboy Special Editions Model of the Year for 2005.  Camp",Erica Campbell
Q242961,"Naomi (born September 25, 1983) is an American pornographic actress.  Personal life and career Naomi was born in Los Angeles, California.  She has stated that she is Jewish and her father was a rabbi.",Naomi (pornographic actress)
Q242996,"Stacy Silver is a Czech pornographic actress and nude model. She has performed in more than a hundred pornographic movies, and has occasionally directed them.. Retrieved on 2007-11-04.  She has a trib",Stacy Silver
Q244338,"Bilawal Bhutto Zardari (Sindhi: , born 21 September 1988) is a Pakistani politician who serves as the Chairman of the Pakistan Peoples Party and presides over the party's executive committee. Born in ",Bilawal Bhutto Zardari
Q246255,فیتھ لیون (لاطینی: Faith Leon) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1985ء کی پیدائشیں زمرہ:بقید حیات شخصیات زمرہ:امریکی فحش اداک,فیتھ لیون
Q2464507,"Briana Blair (born June 24, 1987) is a former NBA cheerleader, retired American pornographic actress, and nude model.  Life and career Briana Blair was born on June 24, 1987 in Atlanta, Georgia. She a",Briana Blair
Q246970,"Skin Diamond (born Raylin Christensen; February 18, 1987) is the stage name of an American pornographic actress and nude model.   Early life Diamond was born in Ventura, California, and raised in Dunf",Skin Diamond
Q2477177,ایلن سینٹ (لاطینی: Ellen Saint) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1983ء کی پیدائشیں زمرہ:چیک فحش اداکارائیں زمرہ:بقید حیات شخ,ایلن سینٹ
Q2514244,"Tina Desai  (born 24 February 1987) is an Indian actress. She debuted with the 2011 Hindi thriller film Yeh Faasley, and went on to star in the action comedy Sahi Dhandhe Galat Bande, before making he",Tena Desae
Q253343,"Jaimie Alexander (born March 12, 1984) is an American actress known for portraying Jessi on the TV series Kyle XY and Sif in the 2011 superhero film Thor, its 2013 sequel, Thor: The Dark World, and Ag",Jaimie Alexander
Q2544776,"Renee Perez (born December 8, 1984) is a pornographic actress and adult model. She was named Penthouse Pet of the Month for November 2005.  Biography Perez started in the adult industry at the age of ",Renee Perez
Q254980,"Marissa Madeline Carroll (born March 18, 1996) is an American actress who was first noticed for her role as Molly Johnson in 2008's  Swing Vote. Carroll had many supporting roles in various comedy and",Madeline Carroll
Q255277,"Eve Angel (born on May 19, 1983) is a Hungarian porn actress and model. Other stage names used by her include Eva Shine, Marina Mendoza, Katie, Daphne and Severine.  Biography Born in Budapest, Hungar",Eve Angel
Q256229,"Courtney Cummz (born December 4, 1981 ) is an American pornographic actress, since around 2004.  Biography Her first job was a waitress at an Applebee's franchise, and she later worked in a nudist res",Courtney Cummz
Q256483,"Flower Tucci (  born January 2, 1981) is an American nude model and pornographic actress.  Career Tucci was working as a cake decorator in a bakery when she answered an ad in the LA Weekly. Her first ",Flower Tucci
Q256537,"Memphis Monroe (born March 23, 1985, in New Orleans, Louisiana) is the stage name of an American pornographic actress. Monroe got her stage name from Nicolas Cage's character (Randall ""Memphis"" Raines",Memphis Monroe
Q2566549,"Jana Jordan (born March 9, 1986 in San Antonio, Texas) is an American adult model and pornographic actress who was Penthouse magazine's Pet of the Month for August 2007.   Career  Jordan was initially",Jana Jordan
Q256708,"Reba Sabrina Hinojos (born September 16, 1984), better known by her stage name Sabrina Bryan, is an American singer, actress, author, songwriter, fashion designer, choreographer, dancer, and televisio",Sabrina Bryan
Q257122,"Black Angelika (born October 25, 1987) is a Romanian pornographic actress.   She has several tattoos, including a black scorpion on her right ankle and three on top of her mons pubis: two Chinese char",Black Angelika
Q25722,"Ice La Fox (born February 28, 1983 in Miami, Florida) is the stage name of an American pornographic actress (since around 2001) and nude model.  Early life Ice La Fox is of Cuban and Puerto Rican desc",Ice La Fox
Q25837,"__NOTOC__  Nadia Styles (real name Patrice Roldan, born June 25, 1982) is an American pornographic actress.  Growing up, Styles had a difficult childhood and a physically abusive mother who threw her ",Nadia Styles
Q258470,"Crystal Reed (born February 6, 1985) is an American actress. She is best known for her role as Allison Argent in the MTV series Teen Wolf.Tyler Posey and Crystal Reed Exclusive Interview TEEN WOLF (MT",Crystal Reed
Q25970,"Whitney Stevens (born August 25, 1987 in Panama) is a retired American pornographic actress. Originally from Panama, she was raised in Palm Springs, California, USA and was active from September, 2006",Whitney Stevens
Q260184,"Eva Amurri Martino (born Eva Maria Olivia Amurri; March 15, 1985) is an American actress.   Early life  Amurri was born in New York City, New York, to Italian director Franco Amurri and American actre",Eva Amurri
Q260707,"Kristina Rose (born April 14, 1984) is the stage name of an American pornographic actress.  Life and career At age 18, Rose first worked for an adult website doing customer service. When the company m",Kristina Rose
Q260712,"Sophia Santi (born December 6, 1981), formerly known as Natalia Cruze, is a Canadian pornographic actress and director.  Early life Santi was born in Winnipeg, Manitoba, but she grew up in Vancouver, ",Sophia Santi
Q260718,"Kinzie Kenner (born July 22, 1984) is an American pornographic actress and go-go dancer. She entered the adult film industry in 2003 at the age of 19.  In the fall of 2005, she underwent breast implan",Kinzie Kenner
Q260741,"Shay Jordan, also known more recently as Jasmine Jinn, (born November 17, 1985), is a Filipino American former pornographic actress.  Early life Jordan was born in the Philippines and later moved to H",Shay Jordan
Q260746,"Shawna Lenee (born April 12, 1987 in Cleveland, Ohio) is an American pornographic actress, dancer and model.  Early life Lenee became a mother at age 17. She worked as a mainstream model and actress p",Shawna Lenee
Q260757,"Brea Bennett (born February 7, 1987), is an American pornographic actress.   Biography  Bennett grew up in Arizona. She grew up wanting to be a singer, initially studying opera; but she has since expa",Brea Bennett
Q260794,"Karenjit Kaur Vohra (born May 13, 1981), better known by her stage name Sunny Leone (pronounced ), is an Indo-Canadian and American actress, businesswoman, model and former pornographic actress. She w",Sunny Leone
Q26103,"Jessica Jaymes (born March 8, 1979) is an American pornographic actress.  Biography   Adult career  Jaymes' adult film career began in the summer of 2002.  Her stage name is a combination of her real ",Jessica Jaymes
Q26109,"Hannah Harper (born 4 July 1982) is an English pornographic actress, director, and the April 2002 Penthouse Pet of the Month.  Career In 2001, Harper started modelling in London at her then-husband's ",Hannah Harper
Q261694,"Trina Michaels (born January 13, 1983) is an American pornographic actress and professional wrestling valet. Prior to entering the adult film business, she worked in a car insurance claims office and ",Trina Michaels
Q261740,سیلیسٹ سٹار (لاطینی: Celeste Star) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1985ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید ح,سیلیسٹ سٹار
Q261748,"Summer Yasmine Bishil (born July 17, 1988) is an American actress. She first came to prominence for her role as Jasira in the 2007 film Towelhead. She was chosen to portray Azula in M. Night Shyamalan",Summer Bishil
Q2617781,"Christina Walsh, commonly known by her stage name Capri Anderson (born March 30, 1988 in New York, New York),  is an American pornographic actress.  Legal issues On October 26, 2010, Anderson was invo",Capri Anderson
Q2624737," aka  and  is a Japanese actress, HIV/AIDS activist, and a former AV idol. She is active in many media formats in Japan including mainstream theatrical film, and is a popular blogger. Her adeptness at",Hotaru Akane
Q262862,"Laura Ramsey (born November 14, 1982) is an American film and television actress. She is best known for her roles as Olivia in 2006's She's the Man, Stacy in the 2008 film The Ruins, Audrey Dawn in th",Laura Ramsey
Q2629672,"Kate Lauren French (born September 23, 1984) is an American actress and model. She is perhaps best known for her role as Niki Stevens on The L Word.  Early life Kate Lauren French was born in Flemingt",Kate French
Q2632713,Sharka Blue is a Czech pornographic film actress born in 1981. She was a nominee for the 2008 AVN Award for Best Sex Scene in a Foreign-Shot Production (Maison Erotique).dead link She has appeared in ,Sharka Blue
Q2634510,"Parvathy Omanakuttan (born March 13, 1987) is an Indian model and actress who was crowned Miss India 2008 and later became first runner-up at Miss World 2008. She was also awarded the titles of Miss W",Parvathy Omanakuttan
Q263748,"   Francia Raisa Almendárez (born July 26, 1988) is an American actress. She is sometimes credited as Francia Almendárez. Raisa is most notable for her roles in Bring It On: All or Nothing, where she ",Francia Raisa
Q264717,"Roxy DeVille (born November 8, 1982) is an American former pornographic actress.  Early life DeVille was raised in the Chicago Southland. She worked as a shampoo girl at a hair salon and was the store",Roxy DeVille
Q264996,"Kelli Garner (born April 11, 1984)  is an American actress.  Career Garner's credits include Man of the House, The Aviator, Bully,  Taking Woodstock and Thumbsucker. She appeared in two Green Day musi",Kelli Garner
Q2668347,"Jamie Brooks (born 4 June 1982 in Hull, England, United Kingdom) is a British pornographic actress.  Awards  2006 AVN Award nominee – Best Oral Sex Scene, Video – Ass Quake  2007 UK Adult Film and Tel",Jamie Brooks (actress)
Q2680357,"Srabanti Chatterjee (born 13 August 1987) is a Bengali Film and television actress. She is commonly known by her first name only, Srabanti (alternately Shrabonti)  Film career Srabanti primarily works",Srabanti Chatterjee
Q26876,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. Raised in Wyomissing, Pennsylvania, Swift moved to Nashville, Tennessee at the age of 14 to pursue a career in country mu",Taylor Swift
Q269110,"Chloe Bridges (born December 27, 1991 in Louisiana; formerly credited as Chloe Suazo) is an American actress. She is known for her roles as Zoey in the sitcom Freddie (2005–2006) and as Dana Turner in",Chloe Bridges
Q269210,"Nautica Thorn (born Shauna Tokumi; June 13, 1984) is an American pornographic actress.  Early life Born in Waipahu, Hawai'i, Thorn is of half Japanese, a quarter Puerto Rican, and a quarter Hawaiian d",Nautica Thorn
Q269942,"Marie Luv (born November 1, 1981) is an American pornographic actress, exotic dancer, glamour model, and pornographic film director.  Biography Born in Hacienda Heights, California, her first job was ",Marie Luv
Q269972,"Gia Paloma (born June 27, 1984) is an American former pornographic actress and movie director.  Biography Paloma (born in Diamond Bar, California) grew up in Walnut, California and is of Italian ances",Gia Paloma
Q2709,"Sasha Grey (born Marina Ann Hantzis; March 14, 1988) is an American former pornographic actress who has since become a mainstream actress, model, author and musician. She first made her name in mainst",Sasha Grey
Q270951,"Alsou Ralifovna Abramova (; ; née Safina, better known as just Alsou (, born on June 27, 1983biography on IMDb) is a popular Russian singer. She competed in the Eurovision Song Contest 2000 in which s",Alsou
Q271055,"| name         = Emily Rose  | image        = Emily Rose 2013.jpg | image_size   = 220px | caption      = Rose at the 2013 SDCC | birth_date   =  | birth_place  = Renton, Washington, U.S. | birth_name",Emily Rose (actress)
Q2717980,سٹیویا روز (لاطینی: Sativa Rose) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1984ء کی پیدائشیں زمرہ:بقید حیات شخصیات زمرہ:میکسیکی فحش ا,سٹیویا روز
Q272034,"Taryn Thomas (born May 27, 1983) is an American pornographic actress, director, men's club feature dancer, and model.  Career Upon turning 18 years-old, Thomas began working for Lightspeed Media Corpo",Taryn Thomas
Q272038,"Raven Alexis (born January 28, 1987) is the stage name of an American pornographic actress. She started appearing as an erotic and fetish model in 2007, mostly for online publication.   Early life Ale",Raven Alexis
Q272048,"Jessie Andrews (born March 22, 1992) is the stage name of an American pornographic actress, jewelry designer, club DJ and model. Andrews has been active in pornography since 2010. In 2012, she was hon",Jessie Andrews
Q2721485,Ankita Lokhande is an Indian television actress. Lokhande is the highest-paid actresses of Indian television .Ankita Lokhande is the highest paid actress on small screen with a salary of 1.15 lakhs pe,Ankita Lokhande
Q2721495,Ankita Sharma is an Indian television actress. She worked in Sony TV's show Baat Hamari Pakki Hai as Saachi Jaiswal.  Television 2009-2010 Agle Janam Mohe Bitiya Hi Kijo as Ratna 2010–2011 Baat Hamari,Ankita Sharma
Q2723457,"Sameera Reddy (born 14 December 1982) is an Indian actress who primarily appears in Tollywood and Bollywood films.She has also appeared in a number of Telugu, Bengali, Malayalam and Kannada films.She ",Sameera Reddy
Q2723672,"Namitha (born Namita Mukesh Vankawala  on 10 May 1981 in Surat) is an Indian actress who has appeared in Indian regional movies, such as Telugu, Tamil, Kannada, Hindi and Malayalam films.  Career She ",Namitha
Q2735913,"Veena Malik (Urdu: , born Zahida Malik) is a Pakistani actress, TV host and model who appears in Lollywood and Bollywood films. Malik made her film debut in 2000 with Sajjad Gul's Tere Pyar Mein. In 2",Veena Malik
Q2737207,"Kangana Ranaut (; born 23 March 1987) is an Indian film actress. She has established a successful career in Bollywood, and is the recipient of a National Film Award and two Filmfare Awards.  Born in B",Kangana Ranaut
Q274366,"Lacey Duvalle (born April 5, 1982) is an American pornographic actress. She entered the adult film industry in 2000 at the age of around 18 and has appeared in over 150 movies.  Her scene with Mario C",Lacey Duvalle
Q2748319,"Nayantara (born 18 November 1984 as Diana Mariam Kurian) is an Indian film actress from Kerala, who appears in South Indian films. She made her acting debut in the 2003 Malayalam film Manassinakkare a",Nayantara
Q2748513,"Trisha Krishnan (born 4 May 1983), known mononymously as Trisha, is an Indian film actress and model, who primarily works in the South Indian film industries, where she has established herself as a le",Trisha (actress)
Q2750368,"Maher Zain ( ; born 16 July 1981https://twitter.com/MaherZain/status/312996761113346049 in Tripoli, Lebanon) is a Muslim Swedish R&B singer, songwriter and music producer of Lebanese origin. With more",Maher Zain
Q275961,"Lindsey Marie Shaw (born May 10, 1989) is an American actress, known for playing Jennifer ""Moze"" Mosely on the Nickelodeon series Ned's Declassified School Survival Guide and Paige McCullers on the AB",Lindsey Shaw
Q277703,"Anjali is an Indian film actress and model, who predominantly appears in Tamil films and Telugu films. Following a stint in modelling, she was cast in starring roles in two low-profile Telugu producti",Anjali (actress born 1986)
Q278015,"Early life  Bhavana was born in Perinkavu, Thrissur, Kerala, the daughter of Pushpa and assistant cinematographer, G.Balachandran. She has one brother, Jayadev, who currently lives in Vancouver, Canad",Bhavana (actress)
Q2821547,"Abella Anderson (born May 16, 1988) is a Cuban-American spokesmodel and former pornographic actress.  Career Anderson starred as ""Anna B"" in the Bang Bros series Living With Anna. In 2011, Complex mag",Abella Anderson
Q283504,"Diora Lynn Baird (born April 6, 1983)Baird at Maxim.com. Retrieved on 2011-07-26. is an American actress and former model for Guess? who has appeared in films such as Wedding Crashers (2005) and The T",Diora Baird
Q2841298,"Casey Parker is the stage name of a pornographic/ mainstream actress, webcam girl and adult model. She studied and graduated from Balboa Academy in Panama City, Panama.  Career  Parker got her start i",Casey Parker
Q285043,"Kimberly Kane (born August 28, 1983) is an American pornographic actress and adult film director.  Early life Kane was born and raised in Tacoma, Washington. Her mother was a pornographic film produce",Kimberly Kane
Q285193,"Ashley Spencer Argota (born January 9, 1993) is an American actress, singer, and student. She is best known for role as Lulu in the Nickelodeon sitcom True Jackson, VP. She also co-starred as Kelly Pe",Ashley Argota
Q285874,"  Adrianna Lynn, aka Adrenalynn, (born July 8, 1985) is an American pornographic actress.  Life and career Lynn was born in  Allen, Texas. As a child, she modelled for the J. C. Penney catalogue and l",Adrianna Lynn
Q2866447,"Aseel Omran () is a Saudi Arabian singer who rose to fame not only in Saudi Arabia but also in other countries in the Middle East when she entered the reality show Gulf Stars and Heya wa Huwa, which m",Aseel Omran
Q2866562,"Ashli Orion (born June 19, 1987) is the stage name of an American pornographic actress.  Early life Orion was born in San Diego, California and moved to Los Angeles when she was fourteen years old. Sh",Ashli Orion
Q287027,"Sola Aoi or, less often, Sora Aoi (Japanese: , Aoi Sora), is the stage name of a Japanese AV idol, nude model, and film and television actress. Her popularity as an adult video actress has led to cele",Sola Aoi
Q288123,"Taylor Quinn Cole (born April 29, 1984) is an American actress and former fashion model.  Early life and modeling Cole was born in Arlington, Tarrant County, Texas. Cole attended Mirabeau B. Lamar Hig",Taylor Cole
Q289560,"Brandy Talore (born February 2, 1982 in Toledo, Ohio) is the stage name of an American pornographic actress.  Early life Brandy Talore grew up in Genoa, Ohio, a suburb of Toledo, where she attended pu",Brandy Talore
Q2900137,"Liliane Tiger (born March 13, 1985) is a Czech pornographic actress.  Awards 2005 AVN Award nominee – Female Foreign Performer of the Year 2006 AVN Award nominee – Female Foreign Performer of the Year",Liliane Tiger
Q291704,"Monica Mattos (born November 6, 1983) is a Brazilian pornographic actress who began her career in 2003 in Brazil, and in 2005 in the United States.  One of her more notable movies is Too Much is Never",Monica Mattos
Q292492,جینا اسو (لاطینی: Jayna Oso) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1981ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات شخ,جینا اسو
Q292605,"Erica Ellyson (born October 1, 1984) is an American softcore model and actress who was Penthouse's Pet of the Month for January 2007 and Pet of the Year for 2008.   Biography  Ellyson was raised in Hu",Erica Ellyson
Q2927207,برائین ٹائلر (لاطینی: Brynn Tyler) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں   حوالہ جات  زمرہ:نامکمل  زمرہ:1987ء کی پیدائشیں زمرہ:بقید حیات شخصیات زمرہ:امریکی فحش اداکارائیں,برائین ٹائلر
Q292943,"Shriya Saran (; born 11 September 1982), also known by the mononym Shriya, is an Indian film actress and model. She has acted in Telugu, Tamil, Malayalam and Hindi language films, as well as a few fil",Shriya Saran
Q292958,Amrita Arora (born 31 January 1981) is a Bollywood actress.Amrita Arora Biography  Personal life and education  Arora was born in Chembur to a Malayali mother Joyce Polycarp and Punjabi father Anil Ar,Amrita Arora
Q292967,"Celina JaitlyCelina Jaitly (Actress) Official website (born 24 November 1981) is an Indian actress who mainly appears in Bollywood films. A former beauty queen and model, she was crowned Femina Miss I",Celina Jaitly
Q294581,"Charlie Laine (born January 31, 1984) is an American pornographic actress and adult model originally from Marion, Wisconsin.  Early years Laine dropped out of high school at age 17, and started in the",Charlie Laine
Q2961025,"Charlotte Stokely (born August 8, 1986) is an American pornographic actress.  She started performing in adult-oriented content after her roommate (who was a stripper) was cast in a porn film; Stokely ",Charlotte Stokely
Q296235,"Jenny Hendrix (born April 5, 1986) is an American model and former pornographic actress. Hendrix began her career in 2004 at the age of 18, and has since been featured in over 150 movies.  Hendrix ent",Jenny Hendrix
Q2963543," (born September 23, 1984), also known as Nami Funakura (船倉奈美), is a Japanese AV idol who has starred in more than 200 adult videos from various labels.  Life and career Hasegawa began her adult video",Chihiro Hasegawa
Q2979736,"Michelle Maylene (born January 20, 1987) is an actress, adult model, and former adult film star.  Early life Maylene was born in Edwards, California. Her ethnicity is Eurasian.  Career Between 2007 an",Michelle Maylene
Q298423,"Chelsea Elizabeth Manning (born Bradley Edward Manning, December 17, 1987) is a United States Army soldier who was convicted in July 2013 of violations of the Espionage Act and other offenses, after r",Chelsea Manning
Q2985367,"Sinn Sage  (born October 4, 1983) is an American hardcore pornographic actress, assistant director and nude model. She started her pornography career in around 2002 and has been in over 150 films.  Sa",Sinn Sage
Q2987569,"thumb|Sarah Vandella (2011) Sarah Vandella (born December 2, 1983) is an American pornographic actress.  Biography Sarah grew up in a Reform Jewish household in Hicksville, New York. In high school, s",Sarah Vandella
Q2987941,"Lexie Marie (a.k.a. Lexi Marie)  is an American pornographic film actress, exotic dancer and nude model.  She began working as an exotic dancer at a club in Phoenix, Arizona a few weeks after her 18th",Lexie Marie
Q2988444,جیسی (لاطینی: Jassie) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1982ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات شخصیات,جیسی
Q299136,"Amrita Rao (;  born 17 June 1981) is an Indian film actress and model. She has appeared in Hindi films of Bollywood as well as a few films in Telugu. Born and raised in Mumbai, Rao made her screen deb",Amrita Rao
Q2995813,"Parineeti Chopra (; born 22 October 1988) is an Indian actress who appears in Hindi films. Chopra initially aspired to pursue a career in investment banking, but after obtaining a triple honours degre",Parineeti Chopra
Q302466,"Omar Ahmed Khadr (born September 19, 1986) is a Canadian Islamic Jihadist who was one of the youngest captives and the last Western citizen to be held by the United States at the Guantanamo Bay detent",Omar Khadr
Q3033317,"Priscila Sol is a Brazilian pornographic actress who began her career in around 2004. In 2004 she signed an exclusive performance contract with the European Adult production company, Marc Dorcel.  Awa",Priscila Sol (pornographic actress)
Q3034240,میسن مور (لاطینی: Mason Moore) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:بقید حیات شخصیات زمرہ:1985ء کی پیدائشیں زمرہ:امریکی فحش اداک,میسن مور
Q3045291,"Tara Lynn Foxx (born June 13, 1990) is the stage name for an American former pornographic actress.  Career Foxx began at age eighteen as a webcam model on Flirt4Free.com (a.k.a. Video Secrets) under t",Tara Lynn Foxx
Q3046959,"Zarine Khan (born 14 May 1987) is an Indian actress and model who appears in Indian films, mainly in the Hindi film industry, though has also appeared in Tamil and Punjabi films.  Khan made her screen",Zarine Khan
Q3048607," born April 21, 1981 in Hiroshima,Oikawa said on Twitter ""私は広島市生まれなので"" (in Japanese) on 2010-09-08. Japan is a Japanese actress, TV Personality and was also a former AV idol who was very popular in th",Nao Oikawa
Q3049012,"Mohammad Asif (Urdu: , born 20 December 1982) is a Pakistani right-arm fast medium bowler in cricket. Asif was born in Sheikhupura, and has played first-class cricket for Khan Research Labs, the Natio",Mohammad Asif
Q3055256,"Madison Parker (born June 21, 1989 in Hungary) is a Hungarian pornographic actress.   Biography  She entered the porn industry in 2007 at age 18 and has appeared in over 150 films.  Awards 2009 Hot D'",Madison Parker
Q3057324,"Hrishitaa Bhatt () (born 10 May 1981), also spelled as Hrishita Bhat, is an Indian actress and model. She debuted in the film Asoka (2001) opposite Shahrukh Khan, but it was Haasil (2003), that brough",Hrishitaa Bhatt
Q3057335," is a Japanese actress, model and adult video (AV) performer and director who has also used the name  for still photo shoots. Her long and prolific career and international recognition mark her as an ",Sakura Sakurada
Q30585,"Bailey Jay (born November 5, 1988 in Richmond, Virginia, United States) is an American trans woman who is a pornographic actress, adult model, and podcaster.  Early life Bailey Jay originally gained f",Bailey Jay
Q3081525,"Holliston Taylor Coleman (born June 30, 1992) is an American actress. She is perhaps best known for starring in the Paramount feature film, Bless the Child, and her recurring role in the television se",Holliston Coleman
Q308391,"Abdoulaye Konko Faye (born 9 March 1984 in Marseille) is a French footballer of Senegalese and Moroccan descent, who currently plays for Lazio in Serie A as a right back. He favours dribbling and can ",Abdoulay Konko
Q3088852," is a Japanese AV idol who has performed for several prominent adult video (AV) companies and who has appeared in more than 500 AVs.   Life and career  Hino was born March 7, 1986 in Kanagawa Prefectu",Hikari Hino
Q3092199,"Udita Goswami (born 9 February 1984)""Birthday time for Udita Goswami"", Mid Day, 7 February 2011 is an Indian actress who works in Hindi cinema.  Early life Udita was born in Dehradun, Uttarakhand ""'Em",Udita Goswami
Q309628,"Papiss Demba Cissé (born 3 June 1985) is a Senegalese footballer who plays as a striker for Newcastle United and the Senegal national team.  Formerly of SC Freiburg, he holds the record of most goals ",Papiss Cissé
Q3100351,جن پادووا (لاطینی: Gen Padova) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1981ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات ,جن پادووا
Q311155,Lorik Cana  () (born 27 July 1983) is an Albanian professional footballer who plays as a defender for Italian club Lazio and captains the Albania national football team. He used to primarily play as a,Lorik Cana
Q311162,Nabil El Zhar (; born 27 August 1986) is a Moroccan footballer who plays for Spanish club Levante UD as a right winger.  He has been a full international for Morocco since 2008.  Club career and perso,Nabil El Zhar
Q311163,"Moustapha Salifou (born 1 June 1983) is a Togolese footballer who plays as a midfielder in Germany for TSV 1860 Rosenheim, as well as the Togo national football team. Salifou is perhaps best known for",Moustapha Salifou
Q3124813," is a busty Japanese adult video actress. She takes a Japanese J-cup bra (which is roughly a G cup in American measurements).   Life and career  Born on January 18, 1985, in Miyazaki Prefecture in Jap",Shoko Goto
