,text,name
Q1689197,"Petar Filipović (born 14 September 1990) is a German-born Croatian footballer, currently playing for NK Slaven Belupo as a midfielder.  A product of the FC St. Pauli academy, Filipović played mostly i",Petar Filipović
Q1689366,"T.J. Kemp (born July 3, 1981 in Pickering, Ontario, Canada) is a professional ice hockey player currently playing for the Oji Eagles of the Asia League Ice Hockey (AL).  Playing career Kemp played hoc",T. J. Kemp
Q168966,"Zdeněk Blatný (born January 14, 1981 in Brno, Czechoslovakia) is a Czech professional ice hockey left wing currently playing for Frederikshavn White Hawks in the Danish Metal Ligaen. He was drafted in",Zdeněk Blatný
Q1689851,"Jiří Švejda (* 22. Februar 1985 in Most, Tschechoslowakei) ist ein tschechischer Eishockeyspieler, der seit 2013 beim Herner EV in der Oberliga West spielt.   Karriere  Švejda begann seine Karriere 20",Jiří Švejda
Q1689894,"Jo Inge Berget (born 11 September 1990) is a Norwegian professional footballer playing for Celtic, on loan from Cardiff City.  Career Berget started his career at Lyn and played twice before left the ",Jo Inge Berget
Q16905586,Martin Tchiba (* 1982 in Budapest) ist ein deutsch-ungarischer Pianist.   Leben  Martin Tchiba lebt seit 1985 in Deutschland. Bereits während seiner Schulzeit war er in Hannover Schüler des  Klavierpä,Martin Tchiba
Q1690792,"Joana Fee Würz (* 6. April 1983 in Heilbronn, Deutschland) ist eine deutsche Musicaldarstellerin.   Leben  Joana Fee Würz wuchs in Bad Wimpfen auf und entschied sich für eine Bühnenkarriere. Sie besuc",Joana Fee Würz
Q16908483,Muhammed Akarslan (born 2 April 1995) is a Turkish footballer who plays for Fenerbahçe. He made his Süper Lig debut on 16 May 2014.  References  External links    Muhammed Akarslan at UEFA.com  Muhamm,Muhammed Akarslan
Q169093,"Zdeněk Zlámal (born 5 November 1985 in Přerov) is a Czech football goalkeeper who currently plays for Sigma Olomouc, on loan from Bari.  Club career Zlámal began his football career with Spartak Hulín",Zdeněk Zlámal
Q1690943,mini|hochkant|Job Vissers (2010) Job Vissers (* 15. November 1984) ist ein niederländischer Radrennfahrer.  Job Vissers wurde 2005 Dritter bei dem Eintagesrennen Brüssel-Zepperen. Im nächsten Jahr wur,Job Vissers
Q1691374,"Lena Verheyen (* 9. April 1991 in Kevelaer) ist eine deutsche Volleyballspielerin.   Karriere  Verheyen begann ihre Karriere gemeinsam mit ihrer älteren Schwester Melanie beim VC Eintracht Geldern, wo",Lena Verheyen
Q1691647,"Joe Whitaker (* 18. Januar 1988 in Barnsley, South Yorkshire) ist ein britischer Springreiter.  Joe Whitaker ist ein Spross der britischen Reiterfamilie Whitaker und gehört zu den besten Nachwuchsreit",Joe Whitaker
Q1691679,Joel Basman (born 23 January  1990 in Zurich) is a Swiss actor.   Life  In 2004 he started his career and acted as a bold teenager  named Zizou for the weekly soap  Lüthi und Blanc.  In 2007 director ,Joel Basman
Q1691735,Joel Pacas (* 4. Mai 1989 in Winnipeg) ist ein kanadischer Biathlet.  Joel Pacas lebt in Canmore und startet für den Canmore Nordic Ski Club. Er wird von Roddy Ward trainiert und gehört seit 2009 dem ,Joel Pacas
Q1691884,Jofie Stübing (* 5. Juni 1992) ist eine deutsche Frauenfußballspielerin.   Karriere   Vereine  Stübing begann im Alter von sechs Jahren beim FSV Borussia Genthin mit dem Fußballspielen. 2005 ging sie ,Jofie Stübing
Q1692047,"Johan Mattsson (born April 25, 1992) is a Swedish professional ice hockey goaltender. He played with Södertälje SK in the Elitserien during the 2008–09 Elitserien postseason.Eliteprospects.com - Söder",Johan Mattsson
Q16937621,"Marcelo Javier Cabrera Rivero (born 18 March 1992) is an Uruguayan footballer who plays for Recreativo de Huelva, on loan from Montevideo Wanderers F.C., as a right winger.  Club career Born in Florid",Javier Cabrera
Q16937672,{{Infobox Nordischer Kombinierer  | kurzname = Martin Fritz | bild =  | langname =  | nation =  | geburtstag = 24. Oktober 1994 | geburtsort =   | geburtsland =  | groesse =  | gewicht =  | beruf =  |,Martin Fritz (Nordischer Kombinierer)
Q16937772,Tomas Laurušas (* 13. Februar 1996 in Kaunas) ist ein litauischer Schachspieler.   Leben  Tomas Laurušas stammt aus Kaunas und studiert an der Mykolas-Romeris-Universität.   Erfolge  2008 wurde er bei,Tomas Laurušas
Q16937782,"Loco Escrito (eigentlich Nicolas Herzig; * 1990 in Medellin, Kolumbien) ist ein Schweizer Latino-Rap- und Hip-Hop-Musiker aus Zürich.   Leben  Er war zunächst Mitglied der Band LDDC und begann 2012 se",Loco Escrito
Q16937832,Emre Özivgen (* 12. Oktober 1984 in Akçaabat) ist ein türkischer Fußballspieler.   Karriere  Özivgen begann 1999 hier in der Jugend von TEDAŞ GSK mit dem Vereinsfußball und wechselte 2003 in die Jugen,Emre Özivgen
Q1696106, miniatur|Johann Scheerer  miniatur  Johann Wilhelm Karl Jakob Scheerer (* 6. November 1982 in Henstedt-Ulzburg) ist ein Musiker und Musikproduzent aus Hamburg. Bekannt wurde er durch Produktionen für,Johann Scheerer
Q1696325,Tatjana Nikolajewna Belkina (; * 25. Januar 1988) ist eine russische Sommerbiathletin in der Disziplin Crosslauf.  Tatjana Belkina aus Joschkar-Ola nahm erstmals an den Sommerbiathlon-Europameistersch,Tatjana Nikolajewna Belkina
Q1696976,Johanna Manz (* 15. April 1988 in Mainz) ist eine deutsche Becken- und Langstreckenschwimmerin. Die fleißige Studentin wohnt derzeit in Mainz und trainiert bei der dortigen SG EWR Rheinhessen-Mainz ge,Johanna Manz
Q1697236,"Weny Rahmawati (born October 9, 1983) is a female badminton player from France.  Career Rahmawati played the 2007 BWF World Championships in women's singles, and was defeated in the first round by Pet",Weny Rahmawati
Q16977608,"Ottó Bíró (* 17. August 1988 in Miercurea Ciuc) ist ein rumänischer Eishockeyspieler, der seit 2009 beim HSC Csíkszereda in der Rumänischen Eishockeyliga und der MOL Liga spielt. Sein jüngerer Bruder ",Ottó Bíró
Q1697893,Johannes Kukebal (* 19. Juli 1993 in Tallinn) ist ein estnischer Fußballspieler. Aktuell steht der Junioren-Nationalspieler beim JK Tallinna Kalev in der estnischen Meistriliiga unter Vertrag.   Karri,Johannes Kukebal
Q1698060,miniatur|hochkant|Johannes Möller Johannes Möller (* 29. November 1981 in Stockholm) ist ein schwedischer klassischer Gitarrist und Komponist.   Ausbildung  Möller studierte bei Gary Ryan und Carlos B,Johannes Möller
Q1698105,Johannes Oerding (* 26. Dezember 1981 in Münster) ist ein deutscher Popsänger und Songwriter.   Leben  Johannes Oerding wurde im westfälischen Münster geboren und wuchs in Geldern-Kapellen am Niederrh,Johannes Oerding
Q1698283,"Leonhard „Leo“ Pföderl (* 1. September 1993 in Bad Tölz) ist ein deutscher Eishockeyspieler, der seit 2012 bei den Thomas Sabo Ice Tigers in der Deutschen Eishockey Liga unter Vertrag steht.   Karrier",Leonhard Pföderl
Q1698450,"Johannes Strasser (* 13. Juni 1982 in Dachau, Bayern) ist ein ehemaliger deutscher Basketballspieler. Er spielte in der Basketball-Bundesliga auf der Position des Aufbauspielers.  Von 2001 bis 2007 ge",Johannes Strasser (Basketballspieler)
Q1698565,"Johannes Walenta (* 6. Oktober 1991 in Potsdam) ist ein deutscher Synchronsprecher.   Leben  Johannes Walenta wuchs in Potsdam auf, wo er das Evangelische Gymnasium Hermannswerder  in einer Schnellläu",Johannes Walenta
Q1699128,"Victor Emanuel Martin Rask (born March 1, 1993) is a Swedish professional ice hockey center currently playing with the Carolina Hurricanes of the National Hockey League (NHL). He was selected in the 2",Victor Rask
Q1699551,"Ryan Dingle (born April 4, 1984) is an American professional ice hockey left winger who plays for SG Cortina of the Italian Serie A.  Playing career Prior to his pro career, Dingle won an NCAA Champio",Ryan Dingle
Q1699613,"Paul Flache (* 4. März 1982 in Lakehurst, Ontario) ist ein ehemaliger deutsch-kanadischer Eishockeyspieler und derzeitiger -trainer, der seit Sommer 2013 bei den TPH Thunder U18 in der kanadischen Nac",Paul Flache
Q1699701,"John Clifford Curry (born February 27, 1984) is an American professional ice hockey goaltender currently playing with the  Minnesota Wild of the NHL. He previously played for the Hamburg Freezers of t",John Curry (ice hockey)
Q1700708,John Kipkorir Komen (* 1982) ist ein kenianischer Marathonläufer.  2008 wurde er Vierter beim Turin-Marathon und Zweiter beim Reims-Marathon. Im Jahr darauf wurde er Neunter beim Paris-Marathon und st,John Kipkorir Komen
Q1701531,Ruth Flemig (* 22. August 1985 in Düren) ist eine deutsche Volleyball- und Beachvolleyballspielerin.   Karriere Halle  Ruth Flemig begann ihre Volleyball-Karriere 1995 beim TC Kreuzau. Von dort wechse,Ruth Flemig
Q1701545,Wang Han (born 24 January 1991) is a Chinese diver who specialises in the 1 meter springboard event. Min won a silver medal in the 1 meter springboard event in the 2011 World Aquatics Championships.Re,Wang Han (diver)
Q1702268,"Johnathan Wendel (born February 26, 1981), also known by the pseudonym Fatal1ty (pronounced Fatality), is a professional electronic sports player and entrepreneur. Johnathan is considered the world's ",Fatal1ty
Q1702418,"Johnny Juul Thomsen (born 26 February 1982) is a Danish football midfielder, who currently plays for Danish club Randers FC. Before this he played in F.C. Copenhagen, SønderjyskE and FC Fredericia.  T",Johnny Thomsen
Q1702595,Yeshi Esayias Tessema (born 28 December 1985) is an Ethiopian long-distance runner who competes in marathon races. Her personal best for the distance is 2:24:06 hours. She has won races in Ottawa and ,Yeshi Esayias
Q1702620,Jokubas Aust (* 1999 in Köln) ist ein deutscher Kinder- und Jugenddarsteller. Er spricht Litauisch als MutterspracheProfil auf schauspielervideos.de (PDF; 40 kB) und spielt SchlagzeugVision of an Uund,Jokubas Aust
Q1702912,Jonas Bjelkmark (* 1. April 1987 in Södertälje) ist ein schwedischer Straßenradrennfahrer.  Jonas Bjelkmark wurde 2005 schwedischer Meister im Straßenrennen der Junioren und im Einzelzeitfahren belegt,Jonas Bjelkmark
Q1702921,"[[File:Jonas Burgwinkel 05N8993.jpg|thumb|Jonas Burgwinkel, Moers Festival 2012]] [[Datei:Jonas Burgwinkel Unterfahrt 2010-05-14-008.jpg|miniatur|Jonas Burgwinkel im Jazzclub Unterfahrt (München 2010)",Jonas Burgwinkel
Q1703064,"João Salaviza Manso Feldman da Silva (born 19 February 1984), commonly known as João Salaviza, is a Portuguese film director and actor.   Early years João Salaviza was born on 19 February 1984, in Lis",João Salaviza
Q1703171,"Jonathan Garcia (* 10. August 1981 in Boulder, Colorado) ist ein US-amerikanischer Straßenradrennfahrer.  Jonathan Garcia wurde 2006 Dritter bei dem Eintagesrennen Boulder-Roubaix. Seit 2007 fährt er ",Jonathan Garcia
Q1703350,"Jone Samuelsen (born 6 July 1984 in Stavanger) is a Norwegian footballer, who plays as a midfielder for Odd Grenland.  Football career Samuelsen started his professional career with F.K. Haugesund in ",Jone Samuelsen
Q1703632,"Jordan LaVallée Smotherman (born May 11, 1986) is an American ice hockey Winger currently playing for the Finnish team Pelicans Lahti of the Sm-liiga.  Playing career Smotherman was born in Corvallis,",Jordan Smotherman
Q1703645,"Jordan Paul Pearce (born October 10, 1986) is an American former professional ice hockey goaltender.  Playing career Pearce began his hockey career with the U.S. National Team Developmental Program an",Jordan Pearce
Q1703785,Jorge Camilo Castiblanco Cubides (* 24. November 1988) ist ein kolumbianischer Mountainbike- und Straßenradrennfahrer.  Jorge Castiblanco gewann 2009 bei der Panamerika-Meisterschaft die Silbermedaill,Jorge Castiblanco
Q1703832,"Jorge Andrés Goncalves, now spelling his last name Goncalvez, (born June 14, 1991) is a Venezuelan racing driver from Los Teques.  Racing career  Early career After karting, Goncalvez began his auto r",Jorge Goncalvez (racing driver)
Q17048388,Özgür Yılmaz (* 7. März 1986 in Istanbul) ist ein türkischer Fußballspieler.   Karriere  Yılmaz kam im Istanbuler Stadtteil Üsküdar auf die Welt und begann hier in der Jugend von Yeni Özkartalspor mit,Özgür Yılmaz
Q1706785,Joseph Cooper (* 27. Dezember 1985) ist ein neuseeländischer Straßenradrennfahrer.  Joseph Cooper wurde 2006 neuseeländischer Meister im Straßenrennen der U23-Klasse und im Einzelzeitfahren belegte er,Joseph Cooper
Q1708498,"Josh Meyers (born December 7, 1985) is an American professional ice hockey player who is currently playing for the Abbotsford Heat in the American Hockey League (AHL). He was selected by the Los Angel",Josh Meyers (ice hockey)
Q1708823,"Chandler Massey (born September 10, 1990)""Southern Comfort"". Soap Opera Digest. February 28, 2012. is an actor, best known for his portrayal of Will Horton on the daytime soap opera, Days of Our Lives",Chandler Massey
Q1708971,José Antonio Redondo Ramos (born 5 March 1985 in Alcázar de San Juan) is a Spanish racing cyclist who most recently rode for UCI Professional Continental team Andalucía-Cajasur. He never won a pro rac,José Antonio Redondo
Q1708985,"Kamil Vacek (born 18 May 1987) is a Czech football player who currently plays for Sparta Prague.  He spent two seasons in the Bundesliga with Arminia Bielefeld, followed by four seasons in the Gambrin",Kamil Vacek
Q1710123,"João Batista Lima Gomes (: 烈馬), born 24 June 1985 in Sao Paulo, Brazil, popularly known as Lima, also nicknamed Mossoró in his native Brazil, is a Brazilian professional football player who played for",João Batista Lima Gomes
Q1710171,"João Maria Manzarra  is a Portuguese television host mainly on the Portuguese  SIC Radical network and best known as co-host for the reality television show Ídolos, the Portuguese version of the Idol ",João Manzarra
Q1710235,"Linda Teuteberg, geborene Merschin (* 22. April 1981 in Königs Wusterhausen), ist eine deutsche Juristin und Politikerin (FDP). Sie war von 2009 bis 2014 Abgeordnete im Landtag Brandenburg. Seit 2011 ",Linda Teuteberg
Q1710261,"Andre-Joël Sami (born November 13, 1984 in Montfermeil, Seine-Saint-Denis) is a DR Congolese international defender who currently plays for AS Nancy-Lorraine. He made his first cap for Congo DR nation",Joël Sami
Q1710405,Juan Carlos Fernández Mora (* 14. März 1984 in Madrid) ist ein spanischer Radrennfahrer.  Juan Carlos Fernández wurde 2005 Dritter im U23-Straßenrennen der spanischen Meisterschaft. Bei der Vuelta a T,Juan Carlos Fernández (Radrennfahrer)
Q1710412,thumb|upright=1.5|Juan Carlos López bei der Weltmeisterschaft 2009 in Mendrisio Juan Carlos López Marín (* 24. April 1981 in Rio Negro) ist ein kolumbianischer Straßenradrennfahrer .  Juan Carlos Lópe,Juan Carlos López (Radrennfahrer)
Q1710629,"miniatur|Juan Restrepo mit Latin Sampling (Folkwang Hochschule) (2006) Juan David Restrepo (* 21. Oktober 1981 in Barranquilla, Kolumbien) ist ein kolumbianischer Gitarrist, Komponist und Produzent.  ",Juan Restrepo
Q1711815,thumb|upright=0.5|Julia Bertram when she was still the Ahr Wine Queen in 2011 Julia Bertram (born 1989) from Dernau in the German wine region of Ahr was crowned as the 64th German Wine Queen on 29 Sep,Julia Bertram
Q1711848,"Julia Gámez Martin (* 29. Juni 1986 in BerlinDiabelli Management - Singers - female, abgerufen am 12. Mai 2012) ist eine deutsche Musicaldarstellerin, Sängerin und Songwriterin. Sie ist Siegerin beim ",Julia Gámez Martin
Q1711888,Julia Nachtmann (* 1981 in Filderstadt bei Stuttgart) ist eine deutsche Film- und Theaterschauspielerin.   Leben  Sie absolvierte von 2001 bis 2005 ihr Schauspielstudium an der Hochschule für Musik un,Julia Nachtmann
Q1711927,"Julia Sude (* 2. September 1987 in Gießen, Deutschland) ist eine deutsche Beachvolleyballspielerin. Sie ist die Tochter des ehemaligen deutschen Volleyballers Burkhard Sude.   Karriere  Julia Sude geh",Julia Sude
Q1711928,Julia Thinius (* 7. September 1991) ist eine deutsche Fußballspielerin. Ihre Position ist die Abwehr.   Leben   Julia Thinius begann im Alter von acht Jahren mit dem Fußballspielen. Ab 2006 besuchte s,Julia Thinius
Q1711954,Julian Llewelyn Bennett (born 17 December 1984) is an English footballer.  Career  Youth & Wallsall Bennett was a youth player at Nottingham Forest's Centre of Excellence but left when he was 14 years,Julian Bennett (footballer)
Q1711974,Julian Debus (* 14. August 1991) ist ein ehemaliger Basketballspieler beim USC Heidelberg.   Karriere  Debus schlug zunächst eine Karriere als Turner ein und gewann die Badischen Meisterschaften. Mit ,Julian Debus
Q1712,Erick Bernabé Barrondo García (born 14 June 1991) is a Guatemalan racewalker who competes in the 20 km walk and 50 km walk events. He won the silver medal at the Men's 20km Racewalk in the 2012 Summer,Erick Barrondo
Q1712042,Julian Prochnow (born 1 July 1986 in Berlin) is a German footballer who plays for SV Babelsberg 03.   References    External links     Category:1986 births Category:Living people Category:Sportspeople,Julian Prochnow
Q1712060,"Julian Sengelmann (* 2. August 1982 in Hamburg) ist ein deutscher Schauspieler, Musiker, Moderator, Sprecher und Theologe. Er ist regelmäßig in Fernseh- und Kinoproduktionen zu sehen. 2008 war er in e",Julian Sengelmann
Q1712171,Julie Grundtvig Wester (* 8. August 1991 in Dänemark) ist eine dänische Schauspielerin. Sie spielte in Der verlorene Schatz der Tempelritter die Hauptrolle der Katrine.   Filmografie   2005: Oskar & J,Julie Grundtvig Wester
Q17122706,"Cristian GutiérrezGoleadores 2013-2014 auf elascenso.com, abgerufen am 27. Mai 2014, vollständiger Name Cristian Leonardo Gutiérrez Almeida, (* 3. Februar 1992) ist ein uruguayischer Fußballspieler.  ",Cristian Gutiérrez
Q1712299,Juliette Greco (geborene Menke; * 24. Juni 1981 in Bremen) ist eine deutsche Theater- und Fernsehschauspielerin.   Leben  Juliette Greco hat durch ihre Mutter auch französische Wurzeln. Sie ist zweisp,Juliette Greco (Schauspielerin)
Q1712316,{{Infobox Skispringer  | kurzname = Julija Sršen | bild =  | langname =  | nation =  | geburtstag = 17. Juni 1997 | geburtsort =  | geburtsland =  | groesse =  | gewicht =  | beruf =  | sterbedatum = ,Julija Sršen
Q1712317,"Julija Plamenowa Stojanowa (, englische Transkription: Yuliya Plamenova Stoyanova; * 22. Juli 1985 in Plewen) ist eine bulgarische Volleyballspielerin.  Karriere Stojanowa spielte in einer Hochschulma",Julija Stojanowa
Q17123896,[[Datei:Eym2014 Generalprobe Judith Stapf 3.jpg|thumb|Judith Stapf (2014) bei der Generalprobe zu Eurovision Young Musicians 2014]] miniatur|hochkant|Judith Stapf (2014) Judith Stapf (* 31. Mai 1997 i,Judith Stapf
Q17126649,"Timur Temeltaş (* 13. Januar 1992 in Frechen) ist ein deutsch-türkisch-aserbaidschanischer Fußballspieler, der auch die deutsche Staatsangehörigkeit besitzt.yetenekliturkfutbolcu.de.tl: TiMUR TEMELTAŞ",Timur Temeltaş
Q17127349,"Sebastián Pérez, vollständiger Name Sebastián Pérez Casada, (* 24. Februar 1989 in Montevideo, abgerufen am 25. Mai 2014) ist ein uruguayischer Fußballspieler.   Karriere  Der je nach Quellenlage 1,74",Sebastián Pérez
Q17128253,John Klanac (* 20. Juli 1988 in Buffalo) ist ein US-amerikanischer Volleyballspieler.   Karriere  Klanac begann seine Volleyball-Karriere an der Orchard Park High School in seiner Heimatstadt.Profil b,John Klanac
Q1713184,"Ibrahim Saddam Juma (born 1 October 1993) is a Ugandan footballer who plays for Sài Gòn Xuân Thành as a midfielder. Known for his creativity, range of passing and finishing, he is also a free kick spe",Ibrahim Juma
Q1713288,Jung Hoon-min (kor. ; * 29. April 1985) ist ein südkoreanischer Badmintonspieler.    Karriere  Jung Hoon-min gewann 2003 die Canadian Open. Im Folgejahr wurde er jeweils Dritter bei der Welthochschulm,Jung Hoon-min
Q1713289,Jung „Mvp“ Jong-hyun (* 12. Februar 1991) ist ein professioneller südkoreanischer E-Sportler in dem Computerspiel StarCraft 2. Jung Jong-hyun ist neben NesTea einer der 5 Mitbegründer des Teams Incred,Jung Jong-hyun
Q1713551,Junior Maximus (* 5. August 1983 als Kalonga Tshibuabua in Kananga (Demokratische Republik Kongo)) ist ein Schwergewichtsboxer mit Lizenz des BDB (Bund Deutscher Berufsboxer).  Im Alter von 10 Jahren ,Junior Maximus
Q1713811,Juraj Zatko (* 5. Juni 1987 in Bratislava) ist ein slowakischer Volleyballspieler.   Karriere  Zatko begann 1997 seine Volleyball-Karriere. In der Slowakei spielte er für STU Bratislava und Strojar Ma,Juraj Zatko
Q1713836,{{Infobox Naturbahnrodler  | kurzname = Jure Ramovš | bild =  | langname =  | nation =  | geburtstag = 1993 | geburtsort =  | geburtsland =  | groesse =  | gewicht =  | beruf =  | sterbedatum = | ster,Jure Ramovš
Q1713903,Juri Juda (* 13. September 1983 in Pawlodar) ist ein kasachischer Bahn- und Straßenradrennfahrer.  Juri Juda wurde 2003 Dritter bei der kasachischen Zeitfahrmeisterschaft und er gewann eine Etappe bei,Juri Juda
Q1714097,{{Infobox Wintersportler  | kurzname = Lenka Muclingerová | bild =  | langname =  | nation =  | geburtstag = 9. Juni 1987 | geburtsort = Turnov | geburtsland =  | groesse =  | gewicht =  | beruf = | s,Lenka Muclingerová
Q1714175," Justin Vincent Cochrane (born 26 January 1982, in Hackney, London) is a professional footballer who plays for Boreham Wood and the Antigua and Barbuda national football team.  Club career Cochrane st",Justin Cochrane
Q1714214,"Justin Lindine (* 11. Januar 1984) ist ein US-amerikanischer Radrennfahrer.  Lindine ist hauptsächlich in der Radsportdisziplin Cyclocross aktiv. Im Jahr 2008 gewann er eine Etappe der Tour of Ohio, i",Justin Lindine
Q1714755,Jytte-Merle Böhrnsen (* 5. Januar 1984 in Hamburg) ist eine deutsche Schauspielerin.   Leben   Bereits mit sieben Jahren stand Böhrnsen auf der Bühne des Deutschen Schauspielhauses in Hamburg. Sie bli,Jytte-Merle Böhrnsen
Q17151689,Paul Röwer (born 26 May 1995) is a German footballer who plays as a striker for Energie Cottbus in the 3. Liga.   Club career   Röwer is a youth exponent from  Energie Cottbus. He made his 2. Bundesli,Paul Röwer
Q1715216,"Jörg Albrecht (* 21. August 1981 in Bonn) ist ein deutscher Autor. Er lebt in Berlin.   Leben  Albrecht studierte Komparatistik, Neuere Deutsche Literatur, Geschichte und Theaterwissenschaft in Bochum",Jörg Albrecht (Autor)
Q1716394,Stefanie Becker (* 5. April 1982 in Fulda) ist eine deutsche Fußballspielerin.  Stefanie Becker gab am 9. September 2001 in Chicago bei der 1:4-Niederlage des deutschen Frauen-Nationalteams im Rahmen ,Stefanie Becker
Q1716742,"Tomáš Kóňa (born 1 March 1984) is a Slovak football midfielder who currently plays for the Slovak Corgoň Liga club FK Senica.  Club career Kóňa, native of Nitra, began playing football at local club F",Tomáš Kóňa
Q1717284,Kim Chon-man is a North Korean diver who competed at the 2008 Summer Olympics.  External links  Category:1987 births Category:Living people Category:North Korean divers Category:Olympic divers of Nort,Kim Chon-man
Q1717428,"Jürgen Lorenz (* 11. Mai 1993 in Tartu) ist ein estnischer Fußballspieler, deutsch-baltischer Herkunft. Der Mittelfeldspieler spielt beim JK Tammeka Tartu in der estnischen Meistriliiga.   Karriere  I",Jürgen Lorenz
Q17182782,"Dominik Nitsche (born 1990) is a professional poker player, originally from Minden, Germany but now residing in Edinburgh, Scotland.  Nitsche began playing poker online in 2006, amassing winnings exce",Dominik Nitsche
Q1718978,Marc Lorenz (born 18 July 1988) is a German footballer who plays for Arminia Bielefeld.  References  External links  Category:1988 births Category:Living people Category:German footballers Category:FC,Marc Lorenz
Q1719513,Kaarlo Rantanen (born 14 December 1988) is a Finnish football player.  References    Guardian Football  Category:1988 births Category:Living people Category:FC Lahti players Category:Veikkausliiga pla,Kaarlo Rantanen
Q17200079,"Dennis Swinnen (* 7. August 1993 in Lier, Belgien) ist ein deutsch-belgischer Eishockeyspieler, der seit 2014 bei den Lausitzer Füchsen in der DEL2 spielt.   Karriere  Dennis Swinnen, der in Belgien g",Dennis Swinnen
Q1720547,Terry Yeo Zhao Jiang (* 9. Januar 1989) ist ein singapurischer Badmintonspieler.    Karriere  Terry Yeo Zhao Jiang gewann bei den Südostasienspielen 2011 Bronze mit dem Herrenteam aus Singapur. Im Her,Terry Yeo Zhao Jiang
Q1720562,"miniatur|Rebecca Robisch (November 2010) Rebecca Robisch (* 4. April 1988) ist eine deutsche Duathletin aus Roth, Triathletin und mehrfache Jugend-Meisterin und Deutsche Triathlon-Meisterin auf der Sp",Rebecca Robisch
Q1720876,"miniatur|hochkant|Kacey Jordan (2011) miniatur|hochkant|Kacey Jordan (2008) Kacey Jordan (* 28. März 1988 in Austin, Texas; bürgerlich Courtney Roskop) ist eine US-amerikanische Pornodarstellerin.   K",Kacey Jordan
Q1720907,"Kacper Tatara (born March 20, 1988 in Lublin) is a Polish footballer who plays as a forward for Dolcan Ząbki.  He previously played for Polish Orange Ekstraklasa side Cracovia and the German 3. Liga s",Kacper Tatara
Q1720948,"Kadidia Fofana Diawara (* 16. Mai 1986 in BamakoLes 10 révélations de l'année !) ist eine malische Fußballspielerin, die in Frankreich für den FC Vendenheim spielt.Footofeminin.fr - Galerie - Vendenhe",Kadidia Diawara
Q1721298,Kai Gehring (born 12 February 1988) is a German footballer who plays for SG Sonnenhof Großaspach.  References  External links  Category:1988 births Category:Living people Category:1. FC Nürnberg II pl,Kai Gehring (footballer)
Q1721341,Kai Schwertfeger (born 8 September 1988 in Düsseldorf) is a German football player currently playing for Hansa Rostock.  Career Schwertfeger began his career with the youth team of Mettmanner SC and s,Kai Schwertfeger
Q1721723,"Sebatian Schiek (born February 15, 1990) is a German footballer who plays for Karlsruher SC. He made his debut for the club in August 2011, as a substitute for Dennis Kempe in a 2–0 defeat to Energie ",Sebastian Schiek
Q1723539,Marc Gouiffe à Goufan (born 12 April 1984) is a Cameroonian football player. He plays for CSCA–Rapid Chişinău.  Career He made his debut on the professional league level in the 2. Bundesliga for SC Pa,Marc Gouiffe à Goufan
Q1726078,"Patrick „Pat“ Jarrett (* 6. Februar 1984 in Sault Ste. Marie, Ontario) ist ein kanadischer Eishockeyspieler, der seit Juni 2014 beim EV Landshut in der DEL2 unter Vertrag steht. Im Jahr 2006 gewann er",Patrick Jarrett
Q17265476,"Patrick Reichel (* 16. März 1984 in Wuppertal)Vita Patrick Reichel ist ein deutscher Schauspieler, der durch seine Rolle als Ulme in der Realverfilmung von Wickie und die starken Männer national bekan",Patrick Reichel
Q17265610,"Michael Silveira, vollständiger Name Michael Gary Silveira Urguiola, (* 22. März 1992) ist ein uruguayischer Fußballspieler.   Karriere  Mittelfeldakteur Silveira absolvierte in der Spielzeit 2012/13 ",Michael Silveira
Q17265626,"Cristian Cossù, vollständiger Name John Christian Cossù Sánchez, (* 5. Juni 1992 in Montevideo) ist ein uruguayischer Fußballspieler.   Karriere  Der nach Angaben seines Vereins 1,70 Meter große Mitte",Cristian Cossù
Q1726719,René Boese (* 28. Februar 1984) ist ein deutscher Handballspieler.   Über die Jugendmannschaft des LHC Cottbus kam Boese 2004 zu Eintracht Hildesheim. Mit dieser Mannschaft stieg Boese zur Saison 2006,René Boese
Q1726855,Necati Yılmaz (* 21. Januar 1988 in Izmir) ist ein türkischer Fußballtorhüter.   Karriere   Verein  Yılmaz erlernte das Fußballspielen in der Jugendmannschaft von Aliağa Belediyespor. Hier wurden die ,Necati Yılmaz
Q17270160,"Emjay Anthony (born June 1, 2003, Clearwater Beach, Florida)Profile is an American actor and model. His major films include It's Complicated and Chef.  He made his acting debut in commercials at the a",Emjay Anthony
Q1727019,Matelita Buadromo (15 January 1996NBC Olympics Page) is a swimmer from the islands of Moala and Rotuma. She has competed internationally since she was eleven and won a bronze medal at the 2012 Oceania,Matelita Buadromo
Q172792,"Darren Barr Fletcher (born 1 February 1984) is a Scottish footballer who plays as a central midfielder for English club Manchester United, for whom he is also the vice-captain. He is the current capta",Darren Fletcher
Q1728000,"Magomedmurad Saidpaschajewitsch Gadschijew (; * 15. Februar 1988 in Dagestan) ist ein russischer Ringer. Er wurde 2008 Juniorenweltmeister und 2010 Vize-Europameister im freien Stil, jeweils im Leicht",Magomedmurad Saidpaschajewitsch Gadschijew
Q1729594,Karina Jørgensen (* 10. Oktober 1988 in Indien) ist eine dänische Badmintonspielerin.   Karriere Nach zwei Titeln im Nachwuchsbereich und einem Titel bei der Badminton-Junioreneuropameisterschaft 2007,Karina Jørgensen
